"","X","Species_names","Limb_width","Limb_length","Observer_names","Volume"
"1",1,"Tiger",37.5622204081294,42.088174716121,"Juan",46639.349708385
"2",2,"Lion",37.4470813000247,43.632214630186,"James",48054.3918528274
"3",3,"Lion",44.3779920177467,50.9655282912017,"Bob",78831.8479195334
"4",4,"Chimpanzee",31.9612889819557,48.0004678309812,"James",38510.9226193562
"5",5,"Tiger",43.5087042157599,46.8586429333892,"Juan",69667.7663687849
"6",6,"Bear",28.3172057931895,46.5442016027792,"James",29312.7295076748
"7",7,"Tiger",34.6277448279154,75.8721466784603,"Bob",71453.0333481166
"8",8,"Tiger",34.7445396381857,45.7867076543361,"Bob",43411.2629648034
"9",9,"Chimpanzee",37.0538355213167,56.6213137414362,"Bob",61057.0984421083
"10",10,"Vaquita",29.7526337781439,56.9744857114551,"James",39611.4853830912
"11",11,"Tiger",29.7848847160857,48.3639589436152,"Bob",33697.9570287874
"12",12,"Bear",37.7865654675527,40.5362453309989,"Juan",45457.781821404
"13",13,"Vaquita",29.0575165515803,42.895199068385,"Bob",28445.6299979933
"14",14,"Lion",32.0608970648843,61.6769878047949,"James",49792.5509321839
"15",15,"Lion",38.8795954162458,43.4973296030508,"James",51641.1554423459
"16",16,"Chimpanzee",42.0161731619401,53.836798812083,"Bob",74645.2364961235
"17",17,"Tiger",34.677604568341,53.8653265809051,"Juan",50874.1725487693
"18",18,"Bear",41.8166869952161,37.2042802400635,"Juan",51095.4269576714
"19",19,"Chimpanzee",27.2145248155088,54.8682864932352,"James",31916.3184943054
"20",20,"Chimpanzee",27.6234038167233,51.591893665694,"Juan",30919.0210335422
"21",21,"Lion",37.6425328125604,48.1844857847192,"Bob",53623.4541135625
"22",22,"Chimpanzee",33.179209563728,44.9273425430905,"James",38844.7815241437
"23",23,"Lion",28.3778827229762,39.1360981826243,"Juan",24752.9739850679
"24",24,"Lion",40.7585188279104,52.8654012000483,"James",68976.0309496901
"25",25,"Tiger",34.2126545187707,47.3167574658663,"Bob",43498.9126209286
"26",26,"Chimpanzee",33.6818560572511,71.0725664400599,"Bob",63326.2703359595
"27",27,"Chimpanzee",36.8315019948644,49.6570815220653,"James",52906.6096839516
"28",28,"Bear",37.3437059113533,67.3619241594596,"James",73780.0922482976
"29",29,"Bear",39.318790707309,62.0611421782299,"James",75354.6313979712
"30",30,"Bear",41.1124322505503,47.9334409658777,"Bob",63631.8909718495
"31",31,"Vaquita",29.7559546962544,53.4728199799161,"Juan",37185.2535386293
"32",32,"Bear",27.440708294471,67.5000539530577,"James",39919.4579498552
"33",33,"Lion",47.4025257687801,45.5348907891291,"Juan",80359.4853367229
"34",34,"Tiger",23.8930414770946,37.9099545002317,"James",16997.5379141343
"35",35,"Bear",26.6712695823967,55.2936857441467,"Bob",30892.481798735
"36",36,"Lion",36.3622285075265,56.7413335876689,"Juan",58923.7534281566
"37",37,"Lion",31.7117227352558,50.8693187448675,"Bob",40177.7372394047
"38",38,"Chimpanzee",30.9663125555405,55.0089756490015,"Bob",41428.8067874319
"39",39,"Chimpanzee",39.8720051970816,60.5401241711698,"James",75590.8699032637
"40",40,"Lion",43.4461074504997,32.9741015894648,"Juan",48883.7592888563
"41",41,"Bear",32.5718434868674,59.9196955390727,"James",49927.9986563296
"42",42,"Lion",38.4702173440398,42.3210280087889,"James",49192.1007735996
"43",43,"Chimpanzee",32.8664127214307,55.6252099251404,"James",47191.757727526
"44",44,"Bear",40.7454812648655,61.7703497571642,"Bob",80543.193549252
"45",45,"Tiger",39.2480075147869,57.6242115987466,"James",69715.6219101312
"46",46,"Tiger",29.7518172116205,62.4057921276731,"Bob",43385.2171801198
"47",47,"Vaquita",36.6055455801544,58.5555561099322,"Juan",61624.2659941223
"48",48,"Bear",28.6970989923413,43.3040787452324,"Juan",28008.811249952
